Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
trunk,0.00014579412146028,-8.23603790256226E-05,0.0513141462721673,0,0,0,1.18284510629799,0.00246223133481107,1.22541568850732E-07,-1.86486894267769E-09,0.00300451040783408,-5.45851421140666E-10,0.00369726469403937,0,0,0,0,0,0,package://hustdog2_description/meshes/trunk.STL,1,1,1,1,0,0,0,0,0,0,package://hustdog2_description/meshes/trunk.STL,,躯干装配urdf-1,机身坐标系00,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LIDAR,0.000199578579167744,5.56978729826113E-06,0.0930321007689041,0,0,0,0.141887346048767,4.17977400205789E-05,-5.52625156952412E-09,-3.05328898604069E-07,4.50773279990884E-05,4.39725037239413E-10,6.87998253582212E-05,0,0,0,0,0,0,package://hustdog2_description/meshes/LIDAR.STL,1,1,1,1,0,0,0,0,0,0,package://hustdog2_description/meshes/LIDAR.STL,,mid-360 urdf-1,机身坐标系00,,LIDAR,fixed,0,0,0,0,0,0,trunk,0,0,0,,,,,,,,,,,,
CAMERA,0.1775,4.17712342116523E-15,0.119500406871192,0,0,0,0.05625,4.08984375E-05,1.41172157875717E-21,3.81164826263948E-23,5.85937500000001E-06,1.22445950217789E-18,4.08984375E-05,0,0,0,0,0,0,package://hustdog2_description/meshes/CAMERA.STL,1,1,1,1,0,0,0,0,0,0,package://hustdog2_description/meshes/CAMERA.STL,,d435urdf-2,机身坐标系00,,CAMERA,fixed,0,0,0,0,0,0,trunk,0,0,0,,,,,,,,,,,,
FR_hip,0.061695,-0.00025557,7.6332E-05,0,0,0,0.24908,0.00015606,-9.8829E-08,3.6293E-07,0.00025823,3.0635E-08,0.00014337,0,0,0,0,0,0,package://hustdog2_description/meshes/FR_hip.STL,1,1,1,1,0,0,0,0,0,0,package://hustdog2_description/meshes/FR_hip.STL,,髋urdf-2,右前髋关节坐标系0,右前髋关节轴线0,FR_hip_joint,revolute,0.1666,-0.051996,0.052,0,0,0,trunk,1,0,0,23.7,30,-0.6674139,0.6674139,,,,,,,,
FR_thigh,-0.00275078934112083,-0.061797306727413,-0.0259635539721172,0,0,0,0.327609323994108,0.000756603493555017,-7.92376228187542E-08,-4.17601614282535E-05,0.000910075280848094,-2.00894339422274E-08,0.000175634171715802,0,0,0,0,0,0,package://hustdog2_description/meshes/FR_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://hustdog2_description/meshes/FR_thigh.STL,,右大腿urdf-2,右前大腿关节坐标系01,右前大腿关节轴线01,FR_thigh_joint,revolute,0.072,0,0,0,0,0,FR_hip,0,-1,0,23.7,30,-1.7017,0.1309,,,,,,,,
FR_calf,-0.000290700643747477,-0.0849759320544111,-0.0645449884848464,0,0,0,0.0600555851678398,0.000215077167464886,-1.03212973220742E-07,-7.20760001508999E-06,0.000218606842918735,-2.83504164955069E-06,6.64639656615067E-06,0,0,0,0,0,0,package://hustdog2_description/meshes/FR_calf.STL,1,1,1,1,0,0,0,0,0,0,package://hustdog2_description/meshes/FR_calf.STL,,右小腿urdf-2,右前小腿关节坐标系02,右前小腿关节轴线02,FR_calf_joint,revolute,0,0,-0.22,0,0,0,FR_thigh,0,1,0,23.7,30,-2.9123,-1.2542,,,,,,,,
FR_foot,-0.00408107532886393,-0.0847335598778639,-0.00290633685426728,0,0,0,0.0825172748061392,1.46759142154274E-05,-8.49500634834688E-08,3.07255134158506E-06,1.27945974102209E-05,-3.13454386289555E-08,1.40635376324204E-05,0,0,0,0,0,0,package://hustdog2_description/meshes/FR_foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hustdog2_description/meshes/FR_foot.STL,,足端urdf-3,右前足端坐标系03,,FR_foot_fixed,fixed,-0.029484,0,-0.19799,0,0,0,FR_calf,0,0,0,,,,,,,,,,,,
FL_hip,0.0616954657332899,0.000255572963513064,-7.63322599348776E-05,0,0,0,0.249083833336948,0.000156060782713592,9.88293977220767E-08,-3.62934761238064E-07,0.000258233849337308,3.0635159913329E-08,0.000143369682824528,0,0,0,0,0,0,package://hustdog2_description/meshes/FL_hip.STL,1,1,1,1,0,0,0,0,0,0,package://hustdog2_description/meshes/FL_hip.STL,,髋urdf-3,左前髋关节坐标系1,左前髋关节轴线1,FL_hip_joint,revolute,0.1666,0.052004,0.052,0,0,0,trunk,-1,0,0,23.7,30,-0.6674139,0.6674139,,,,,,,,
FL_thigh,-0.00278651151521142,0.0616201098501937,-0.0259592407078395,0,0,0,0.32709509862288,0.000755179066525862,8.98619851765821E-08,-4.14421053000646E-05,0.000907689600176613,-1.17602206530788E-06,0.000174646349621653,0,0,0,0,0,0,package://hustdog2_description/meshes/FL_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://hustdog2_description/meshes/FL_thigh.STL,,左大腿urdf-2,左前大腿关节坐标系11,左前大腿关节轴线11,FL_thigh_joint,revolute,0.072,0,0,0,0,0,FL_hip,0,-1,0,23.7,30,-1.7017,0.1309,,,,,,,,
FL_calf,-0.000291115031835237,0.0849240679455889,-0.0645455558309592,0,0,0,0.0600555851678398,0.000215077140788138,-1.03212973213596E-07,-7.20761855561957E-06,0.000218606842918734,-2.83504164955131E-06,6.64642324289748E-06,0,0,0,0,0,0,package://hustdog2_description/meshes/FL_calf.STL,1,1,1,1,0,0,0,0,0,0,package://hustdog2_description/meshes/FL_calf.STL,,左小腿urdf-2,左前小腿关节坐标系12,左前小腿关节轴线12,FL_calf_joint,revolute,0,0,-0.22,0,0,0,FL_thigh,0,1,0,23.7,30,-2.9123,-1.2542,,,,,,,,
FL_foot,-0.00408434501666199,0.0851196204673925,-0.00290914827275929,0,0,0,0.082517276207217,1.46759140000492E-05,-8.49482435630802E-08,3.07254971706503E-06,1.27945976674806E-05,-3.13456863350562E-08,1.40635378188276E-05,0,0,0,0,0,0,package://hustdog2_description/meshes/FL_foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hustdog2_description/meshes/FL_foot.STL,,足端urdf-4,左前足端坐标系13,,FL_foot_fixed,fixed,-0.029481,0,-0.19799,0,0,0,FL_calf,0,0,0,,,,,,,,,,,,
RR_hip,-0.0616954657331797,-0.00025557296342673,-7.63322599394017E-05,0,0,0,0.249083833338139,0.000156060782713602,9.88293977822788E-08,3.62934761193617E-07,0.000258233849338492,-3.0635159914697E-08,0.000143369682825667,0,0,0,0,0,0,package://hustdog2_description/meshes/RR_hip.STL,1,1,1,1,0,0,0,0,0,0,package://hustdog2_description/meshes/RR_hip.STL,,髋urdf-1,右后髋关节坐标系2,右后髋关节轴线2,RR_hip_joint,revolute,-0.1666,-0.051996,0.052,0,0,0,trunk,1,0,0,23.7,30,-0.6674139,0.6674139,,,,,,,,
RR_thigh,-0.00275078937067916,-0.0617973067352863,-0.0259635539698446,0,0,0,0.3276093242147,0.000756603494333339,-7.9237604851973E-08,-4.1760160902987E-05,0.000910075281630381,-2.00894638251924E-08,0.000175634171721558,0,0,0,0,0,0,package://hustdog2_description/meshes/RR_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://hustdog2_description/meshes/RR_thigh.STL,,右大腿urdf-1,右后大腿关节坐标系21,右后大腿关节轴线21,RR_thigh_joint,revolute,-0.072,0,0,0,0,0,RR_hip,0,-1,0,23.7,30,-1.7017,0.1309,,,,,,,,
RR_calf,-0.000290621056721341,-0.0849759320544071,-0.0645454523611017,0,0,0,0.0600555851678399,0.000215077167464931,-1.03212973211729E-07,-7.20760001442781E-06,0.000218606842918735,-2.83504164955105E-06,6.64639656610502E-06,0,0,0,0,0,0,package://hustdog2_description/meshes/RR_calf.STL,1,1,1,1,0,0,0,0,0,0,package://hustdog2_description/meshes/RR_calf.STL,,右小腿urdf-1,右后小腿关节坐标系22,右后小腿关节轴线22,RR_calf_joint,revolute,0,0,-0.22,0,0,0,RR_thigh,0,1,0,23.7,30,-2.9123,-1.2542,,,,,,,,
RR_foot,-0.00408107272374797,-0.0847132470365835,-0.00290633662270157,0,0,0,0.082517274771092,1.46759135371968E-05,-8.49481529565792E-08,3.07254955187879E-06,1.27945972906183E-05,-3.13455864380543E-08,1.40635374588505E-05,0,0,0,0,0,0,package://hustdog2_description/meshes/RR_foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hustdog2_description/meshes/RR_foot.STL,,足端urdf-2,右后足端坐标系23,,RR_foot_fixed,fixed,-0.029484,0,-0.19799,0,0,0,RR_calf,0,0,0,,,,,,,,,,,,
RL_hip,-0.0616954657331795,0.000255572963426758,7.63322599392074E-05,0,0,0,0.249083833338139,0.000156060782713602,-9.88293977822829E-08,-3.62934761193436E-07,0.000258233849338492,-3.0635159915955E-08,0.000143369682825667,0,0,0,0,0,0,package://hustdog2_description/meshes/RL_hip.STL,1,1,1,1,0,0,0,0,0,0,package://hustdog2_description/meshes/RL_hip.STL,,髋urdf-4,左后髋关节坐标系3,左后髋关节轴线3,RL_hip_joint,revolute,-0.1666,0.052004,0.052,0,0,0,trunk,-1,0,0,23.7,30,-0.6674139,0.6674139,,,,,,,,
RL_thigh,-0.00278651151527229,0.0616201098501698,-0.0259592407077821,0,0,0,0.327095098623295,0.000755179066525969,8.98619852381736E-08,-4.14421053000323E-05,0.000907689600177163,-1.17602206531939E-06,0.000174646349622106,0,0,0,0,0,0,package://hustdog2_description/meshes/RL_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://hustdog2_description/meshes/RL_thigh.STL,,左大腿urdf-1,左后大腿关节坐标轴31,左后大腿关节轴线31,RL_thigh_joint,revolute,-0.072,0,0,0,0,0,RL_hip,0,-1,0,23.7,30,-1.7017,0.1309,,,,,,,,
RL_calf,-0.000291115032167749,0.0849240679455877,-0.0645455558309579,0,0,0,0.0600555851678397,0.000215077140788064,-1.03212973228208E-07,-7.20761855669369E-06,0.000218606842918735,-2.8350416495509E-06,6.6464232429718E-06,0,0,0,0,0,0,package://hustdog2_description/meshes/RL_calf.STL,1,1,1,1,0,0,0,0,0,0,package://hustdog2_description/meshes/RL_calf.STL,,左小腿urdf-1,左后小腿关节坐标系32,左后小腿关节轴线32,RL_calf_joint,revolute,0,0,-0.22,0,0,0,RL_thigh,0,1,0,23.7,30,-2.91225638,-1.2541936,,,,,,,,
RL_foot,-0.004084345515799,0.0851320673047962,-0.00290914774361728,0,0,0,0.0825172732571377,1.46759132299513E-05,-8.49483756926153E-08,3.0725499453901E-06,1.27945967137409E-05,-3.13455349479161E-08,1.40635368524768E-05,0,0,0,0,0,0,package://hustdog2_description/meshes/RL_foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hustdog2_description/meshes/RL_foot.STL,,足端urdf-1,左后足端坐标系33,,RL_foot_fixed,fixed,-0.029481,0,-0.19799,0,0,0,RL_calf,0,0,0,,,,,,,,,,,,
